,Unnamed: 0,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount_online,brand charges more than another_online,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Age_encoded,feeling towards discount,brand charges more than another,Payment Preference,Shopping Preference,Spontaneous or Preplanned,Transaction Frequency
0,0,25-34,Female,Bangalore,"Rs. 50,000- 2,00,000","Yes, for the whole household",500,600,80,30000,190,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,1,2,1,2,2,1,1,0,5,5,4,5
1,1,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000","Yes, but only for myself",300,450,70,45000,150,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,Indifferent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Overestimated,Overestimated,Underestimated,1,2,2,1,2,0,0,2,5,5,3,3
2,2,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,400,300,60,15000,200,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,2,2,2,2,2,0,1,0,3,2,1,1
3,3,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",260,120,50,11000,250,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Cash,Offline,Pre Planned,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,No Time,Accurate,Underestimated,Overestimated,Overestimated,Accurate,2,1,1,2,2,2,1,2,1,1,1,3
4,4,18-24,Female,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",400,450,250,200000,150,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,,,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,1,1,2,2,2,0,1,0,5,5,,
5,5,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,300,500,180,25000,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Pre Planned,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Overestimated,Overestimated,Underestimated,1,2,1,1,2,0,1,1,3,1,1,5
6,6,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,600,500,180,7000,1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Offline,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Overestimated,Overestimated,Accurate,Overestimated,2,2,2,2,2,0,1,0,1,2,5,1
7,7,25-34,Female,Kolkata,"Rs. 50,000- 2,00,000","Yes, for the whole household",230,350,40,25000,150,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,2,1,1,1,1,1,2,5,5,5,5
8,8,18-24,Female,Other,"Below Rs. 50,000",No,200,170,50,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Online,Spontaneous,Less Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Underestimated,Overestimated,Accurate,Accurate,1,2,2,1,2,0,0,2,1,5,5,1
9,9,18-24,Male,Other,"Below Rs. 50,000",No,150,200,30,,120,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Indifferent,Offline,Pre Planned,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Very Little Time,Underestimated,Accurate,Underestimated,Accurate,Underestimated,1,2,1,1,1,0,2,0,3,2,1,4
10,10,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,120,100,40,10000,200,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Underestimated,Underestimated,Accurate,Overestimated,Underestimated,1,1,1,1,1,0,1,0,4,2,2,2
11,11,18-24,Male,Other,"Above Rs. 5,00,000",No,180,250,40,15000,120,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Underestimated,Accurate,Accurate,Overestimated,Underestimated,1,1,1,1,1,0,1,1,3,3,5,2
12,12,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,250,40,10000,200,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,0,1,1,2,0,0,1,1,3,2,1,2
13,13,35-54,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,250,30,15000,150,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Underestimated,Overestimated,Underestimated,2,2,1,1,2,2,0,1,5,1,1,1
