,Unnamed: 0,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount,brand charges more than another,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,movie ticket_label,medium pizza_label,coca cola_label,oven_label,shampoo_label
0,0,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,400,300,60,15000,200,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,more than 20% over,accurate,more than 20% over,more than 20% over,more than 20% under
1,1,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",260,120,50,11000,250,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Cash,Offline,Pre Planned,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,No Time,Accurate,Underestimated,Overestimated,Overestimated,Accurate,accurate,more than 20% under,more than 20% over,more than 20% over,5-20% under
2,2,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,120,100,40,10000,200,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Underestimated,Underestimated,Accurate,Overestimated,Underestimated,more than 20% under,more than 20% under,accurate,more than 20% over,more than 20% under
3,3,18-24,Male,Other,"Above Rs. 5,00,000",No,180,250,40,15000,120,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Underestimated,Accurate,Accurate,Overestimated,Underestimated,more than 20% under,5-20% under,accurate,more than 20% over,more than 20% under
4,4,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,250,40,10000,200,Undercharged,Fairly Charged,Fairly Charged,Overcharged,Undercharged,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,5-20% over,5-20% under,accurate,more than 20% over,more than 20% under
5,5,35-54,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,250,30,15000,150,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Underestimated,Overestimated,Underestimated,more than 20% over,5-20% under,more than 20% under,more than 20% over,more than 20% under
6,6,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",350,375,50,9000,250,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Overestimated,Overestimated,Overestimated,Accurate,Accurate,more than 20% over,more than 20% over,more than 20% over,more than 20% over,5-20% under
7,7,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,350,370,60,3000,180,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Underestimated,Underestimated,more than 20% over,more than 20% over,more than 20% over,more than 20% under,more than 20% under
8,8,18-24,Female,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,500,50,6000,200,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Overestimated,Overestimated,Underestimated,Underestimated,5-20% over,more than 20% over,more than 20% over,5-20% under,more than 20% under
9,9,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,500,40,8000,400,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Accurate,Accurate,Overestimated,accurate,more than 20% over,accurate,5-20% over,more than 20% over
10,10,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,300,250,20,10000,200,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Digital,Online,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,5-20% over,5-20% under,more than 20% under,more than 20% over,more than 20% under
11,11,18-24,Female,Other,"Below Rs. 50,000",No,100,200,50,5000,120,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Underestimated,Accurate,Overestimated,Underestimated,Underestimated,more than 20% under,more than 20% under,more than 20% over,more than 20% under,more than 20% under
12,12,18-24,Female,Other,0,"Yes, but only for myself",250,175,40,12000,140,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Underestimated,Accurate,Overestimated,Underestimated,accurate,more than 20% under,accurate,more than 20% over,more than 20% under
13,13,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,250,200,50,5000,300,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Digital,Indifferent,Spontaneous,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Accurate,accurate,more than 20% under,more than 20% over,more than 20% under,accurate
14,14,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,270,110,35,8000,310,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Underestimated,Accurate,Accurate,Accurate,5-20% over,more than 20% under,5-20% under,5-20% over,accurate
15,15,18-24,Female,Other,"Below Rs. 50,000","Yes, but only for myself",250,350,35,12000,200,Fairly Charged,Overcharged,Overcharged,Fairly Charged,Fairly Charged,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,accurate,5-20% over,5-20% under,more than 20% over,more than 20% under
16,16,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,250,450,40,10000,300,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,No,No,No,No,No,No,No,Yes,Yes,No,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,accurate,more than 20% over,accurate,more than 20% over,accurate
17,17,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,250,450,40,8000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,accurate,more than 20% over,accurate,5-20% over,5-20% under
18,18,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,300,500,40,10000,400,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,5-20% over,more than 20% over,accurate,more than 20% over,more than 20% over
19,19,18-24,Female,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,40,8000,250,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,No,No,Yes,No,No,No,No,Yes,Yes,No,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Accurate,Accurate,5-20% under,more than 20% over,accurate,5-20% over,5-20% under
20,20,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,220,450,40,10000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,No,No,No,No,No,Yes,Yes,No,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,5-20% under,more than 20% over,accurate,more than 20% over,5-20% under
21,21,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,30,10000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,No,No,No,No,No,Yes,Yes,No,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Underestimated,Overestimated,Accurate,5-20% under,more than 20% over,more than 20% under,more than 20% over,5-20% under
22,22,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,250,400,40,10000,300,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,accurate,more than 20% over,accurate,more than 20% over,accurate
23,23,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,300,500,45,12000,400,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,5-20% over,more than 20% over,5-20% over,more than 20% over,more than 20% over
24,24,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,300,450,40,8000,300,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,5-20% over,more than 20% over,accurate,5-20% over,accurate
25,25,25-34,Female,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,600,50,3000,400,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,5-20% over,more than 20% over,more than 20% over,more than 20% under,more than 20% over
26,26,18-24,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",200,500,45,6000,400,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Accurate,Underestimated,Overestimated,5-20% under,more than 20% over,5-20% over,5-20% under,more than 20% over
